Adjetivo,Freq_Dependencia,Freq_Ventana,Diferencia_Abs,Ratio_Ventana/Dependencia,Porcentaje_Dependencia,Porcentaje_Ventana
erudito,2,2,0,1.00,0.05,0.02
vago,1,3,2,3.00,0.02,0.03
marroquí,2,2,0,1.00,0.05,0.02
deliciosa,0,4,4,inf,0.00,0.04
valioso,0,4,4,inf,0.00,0.04
crudo,1,3,2,3.00,0.02,0.03
operístico,1,3,2,3.00,0.02,0.03
conservador,1,3,2,3.00,0.02,0.03
fundamental,0,4,4,inf,0.00,0.04
ratonero,2,2,0,1.00,0.05,0.02
mendelssonián,2,2,0,1.00,0.05,0.02
prestigioso,0,4,4,inf,0.00,0.04
eficaz,0,4,4,inf,0.00,0.04
ágil,2,2,0,1.00,0.05,0.02
dionisíaco,1,3,2,3.00,0.02,0.03
remoto,1,3,2,3.00,0.02,0.03
referente,0,4,4,inf,0.00,0.04
amplio,1,3,2,3.00,0.02,0.03
continuo,1,3,2,3.00,0.02,0.03
reflejado,0,4,4,inf,0.00,0.04
encontrado,0,3,3,inf,0.00,0.03
palpitante,1,2,1,2.00,0.02,0.02
decorativo,0,3,3,inf,0.00,0.03
juzgado,1,2,1,2.00,0.02,0.02
sereneo,1,2,1,2.00,0.02,0.02
poderoso,0,3,3,inf,0.00,0.03
cadencioso,0,3,3,inf,0.00,0.03
oída,0,3,3,inf,0.00,0.03
conseguido,0,3,3,inf,0.00,0.03
acostumbrado,0,3,3,inf,0.00,0.03
propicio,0,3,3,inf,0.00,0.03
imperecedero,0,3,3,inf,0.00,0.03
pacífico,0,3,3,inf,0.00,0.03
incomparable,0,3,3,inf,0.00,0.03
provincial,0,3,3,inf,0.00,0.03
realista,0,3,3,inf,0.00,0.03
querido,0,3,3,inf,0.00,0.03
oculto,1,2,1,2.00,0.02,0.02
absurdo,1,2,1,2.00,0.02,0.02
comparable,0,3,3,inf,0.00,0.03
visto,1,2,1,2.00,0.02,0.02
principiant,1,2,1,2.00,0.02,0.02
positivo,0,3,3,inf,0.00,0.03
bajo,2,1,-1,0.50,0.05,0.01
formal,0,3,3,inf,0.00,0.03
presentado,1,2,1,2.00,0.02,0.02
pensado,1,2,1,2.00,0.02,0.02
arreglado,1,2,1,2.00,0.02,0.02
insólito,0,3,3,inf,0.00,0.03
parlante,1,2,1,2.00,0.02,0.02
sometido,0,3,3,inf,0.00,0.03
inequívoco,0,3,3,inf,0.00,0.03
sobresaliente,0,3,3,inf,0.00,0.03
sabroso,1,2,1,2.00,0.02,0.02
africano,1,2,1,2.00,0.02,0.02
marcial,1,2,1,2.00,0.02,0.02
sereno,0,3,3,inf,0.00,0.03
temprano,0,3,3,inf,0.00,0.03
encargado,0,3,3,inf,0.00,0.03
redactado,1,2,1,2.00,0.02,0.02
centenario,0,3,3,inf,0.00,0.03
probable,0,3,3,inf,0.00,0.03
anticuado,1,2,1,2.00,0.02,0.02
conrado,2,1,-1,0.50,0.05,0.01
utilitario,0,3,3,inf,0.00,0.03
policromo,0,3,3,inf,0.00,0.03
extensivo,0,3,3,inf,0.00,0.03
deseable,1,2,1,2.00,0.02,0.02
turco,1,2,1,2.00,0.02,0.02
reducido,1,2,1,2.00,0.02,0.02
diverso,0,3,3,inf,0.00,0.03
beethovenián,1,2,1,2.00,0.02,0.02
funeral,1,2,1,2.00,0.02,0.02
tzígán,1,2,1,2.00,0.02,0.02
excepcional,1,2,1,2.00,0.02,0.02
anunciado,1,2,1,2.00,0.02,0.02
específico,0,3,3,inf,0.00,0.03
prosaico,1,2,1,2.00,0.02,0.02
señalado,0,3,3,inf,0.00,0.03
logrado,0,3,3,inf,0.00,0.03
sabio,1,2,1,2.00,0.02,0.02
atento,0,3,3,inf,0.00,0.03
suficiente,0,3,3,inf,0.00,0.03
fluido,1,2,1,2.00,0.02,0.02
relevante,0,3,3,inf,0.00,0.03
tejido,1,2,1,2.00,0.02,0.02
denominado,1,2,1,2.00,0.02,0.02
amable,0,3,3,inf,0.00,0.03
nacido,0,3,3,inf,0.00,0.03
breve,0,3,3,inf,0.00,0.03
evocador,1,2,1,2.00,0.02,0.02
inútil,1,2,1,2.00,0.02,0.02
viviente,1,2,1,2.00,0.02,0.02
suyo,0,3,3,inf,0.00,0.03
mudo,1,2,1,2.00,0.02,0.02
informe,1,2,1,2.00,0.02,0.02
cantabl,1,2,1,2.00,0.02,0.02
determinado,0,3,3,inf,0.00,0.03
concertante,1,2,1,2.00,0.02,0.02
considerado,1,2,1,2.00,0.02,0.02
futuro,0,3,3,inf,0.00,0.03
solista,0,3,3,inf,0.00,0.03
acorde,0,3,3,inf,0.00,0.03
mostrado,1,2,1,2.00,0.02,0.02
nervioso,1,2,1,2.00,0.02,0.02
parisiense,0,3,3,inf,0.00,0.03
folklórico,0,3,3,inf,0.00,0.03
galaico,1,2,1,2.00,0.02,0.02
levantino,1,2,1,2.00,0.02,0.02
nefasto,1,2,1,2.00,0.02,0.02
flaco,1,2,1,2.00,0.02,0.02
